sensorId,timestamp,raw,calibrated,unit
temp-1,2026-08-20T06:00:00Z,500,30.5,C
temp-1,2026-08-20T06:00:05Z,503,30.6875,C
temp-1,2026-08-20T06:00:10Z,498,30.375,C
temp-1,2026-08-20T06:00:15Z,511,31.1875,C
temp-1,2026-08-20T06:00:20Z,507,30.9375,C
temp-1,2026-08-20T06:00:25Z,494,30.125,C
hum-1,2026-08-20T06:00:00Z,640,32.0,pct
hum-1,2026-08-20T06:00:05Z,655,32.75,pct
hum-1,2026-08-20T06:00:10Z,661,33.05,pct
hum-1,2026-08-20T06:00:15Z,648,32.4,pct
hum-1,2026-08-20T06:00:20Z,633,31.65,pct
hum-1,2026-08-20T06:00:25Z,629,31.45,pct
